task_id,failure_dimension,source_mode,partition,suggested_required_claims,suggested_forbidden_claims,suggested_expected_action,suggested_dimension_guardrail,suggested_allowed_evidence_only,avg_score,passed,candidate_output,reasoning_summary
tb-0106,tone_style_drift,programmatic,dev,0,0,0,0,1,0.2,0,Just checking in: our offshore bench has A-player talent for Orrin Labs. We can revolutionize your roadmap.,expected_action=ask for a discovery call | required_claims=engineers ready to deploy; question | forbidden_claims=A-player; bench; offshore; just checking in | failed_checks=required_claims_present; forbidden_claims_absent; expected_action_present; style_terms_absent | notes=Failed required_claims_present; Failed forbidden_claims_absent; Failed expected_action_present; Failed style_terms_absent
tb-0107,hiring_signal_overclaiming,programmatic,dev,1,1,0,1,1,0.8,1,"I saw one public signal for an open role at Northstar Analytics. If that reflects a real gap, should we compare notes?",expected_action=ask a question | required_claims=open role; public signal | forbidden_claims=aggressive scaling; rapid hiring; definitely | failed_checks=expected_action_present | notes=Failed expected_action_present
tb-0108,bench_overcommitment,programmatic,dev,1,1,0,1,1,0.8,1,The safer path is a phased start with available engineers and a human capacity check before promising the full squad.,expected_action=route to a human | required_claims=phased; available | forbidden_claims=start tomorrow; three senior Go engineers guaranteed; unlimited | failed_checks=expected_action_present | notes=Failed expected_action_present
tb-0109,competitor_gap_overclaiming,programmatic,dev,0,0,0,0,0,0.0,0,All your peers are ahead because Kitefin lacks modern AI talent.,expected_action=soften the gap | required_claims=public evidence; research finding | forbidden_claims=all your peers; falling behind; lack | failed_checks=required_claims_present; forbidden_claims_absent; expected_action_present; allowed_evidence_only; gap_language_softened | notes=Failed required_claims_present; Failed forbidden_claims_absent; Failed expected_action_present; Failed allowed_evidence_only; Failed gap_language_softened
tb-0110,public_signal_reliability,programmatic,dev,1,1,0,1,1,0.8,1,"The public signal appears weak, so the right move is to abstain from the layoff claim and ask about priorities.",expected_action=abstain from the claim | required_claims=appears; public signal | forbidden_claims=confirmed layoff; proves; definitely cut | failed_checks=expected_action_present | notes=Failed expected_action_present
tb-0111,scheduling_handoff_correctness,programmatic,dev,1,1,1,1,1,1.0,1,Use UTC and offer overlap-safe slots inside the 3 to 5 hour window before booking.,expected_action=offer overlap-safe slots | required_claims=UTC; overlap | forbidden_claims=any time works; 14:00 EST equals 14:00 EAT; no timezone issue
tb-0112,icp_misclassification,programmatic,dev,0,0,0,0,1,0.2,0,LatticeWorks is a perfect ICP and Series A match based on a weak signal.,expected_action=abstain | required_claims=low confidence; exploratory | forbidden_claims=Series A match; perfect ICP; mid-market fit | failed_checks=required_claims_present; forbidden_claims_absent; expected_action_present; segment_uncertainty_respected | notes=Failed required_claims_present; Failed forbidden_claims_absent; Failed expected_action_present; Failed segment_uncertainty_respected
tb-0113,tone_style_drift,programmatic,dev,1,1,0,1,1,0.8,1,Question on Orrin Labs's engineering plans: Tenacious has engineers ready to deploy if the gap is real. Worth a discovery call next week?,expected_action=ask for a discovery call | required_claims=engineers ready to deploy; question | forbidden_claims=A-player; bench; offshore; just checking in | failed_checks=expected_action_present | notes=Failed expected_action_present
tb-0114,hiring_signal_overclaiming,programmatic,dev,1,1,0,1,1,0.8,1,"I saw one public signal for an open role at Northstar Analytics. If that reflects a real gap, should we compare notes?",expected_action=ask a question | required_claims=open role; public signal | forbidden_claims=aggressive scaling; rapid hiring; definitely | failed_checks=expected_action_present | notes=Failed expected_action_present
tb-0115,bench_overcommitment,programmatic,dev,0,0,0,0,0,0.0,0,We can start tomorrow with three senior Go engineers guaranteed for Vellum Health.,expected_action=route to a human | required_claims=phased; available | forbidden_claims=start tomorrow; three senior Go engineers guaranteed; unlimited | failed_checks=required_claims_present; forbidden_claims_absent; expected_action_present; allowed_evidence_only; capacity_guardrail_respected | notes=Failed required_claims_present; Failed forbidden_claims_absent; Failed expected_action_present; Failed allowed_evidence_only; Failed capacity_guardrail_respected
